Date,Nume_Sectie,Latitudine,Longitudine,PM2.5,PM10,CO,NO,NO2,NOx,O3,RADIATIE_SOLARA,SO2,TEMPERATURA,UMIDITATE
8/20/2023,B-26,44.4992561,26.1354294,12.78,16.26,,,,,,,,,
8/21/2023,B-26,44.4992561,26.1354294,12.08217391,15.84,,,,,,,,,
8/22/2023,B-26,44.4992561,26.1354294,16.68869565,21.87,,,,,,,,,
8/23/2023,B-26,44.4992561,26.1354294,13.57304348,18.49,,,,,,,,,
8/24/2023,B-26,44.4992561,26.1354294,11.29434783,14.94,,,,,,,,,
8/25/2023,B-26,44.4992561,26.1354294,12.00086957,15.46,,,,,,,,,
8/26/2023,B-26,44.4992561,26.1354294,13.47043478,18.4,,,,,,,,,
8/27/2023,B-26,44.4992561,26.1354294,9.50173913,11.81,,,,,,,,,
8/28/2023,B-26,44.4992561,26.1354294,11.25608696,15.39,,,,,,,,,
8/29/2023,B-26,44.4992561,26.1354294,12.2526087,17.02,,,,,,,,,
8/30/2023,B-26,44.4992561,26.1354294,12.77391304,16.98,,,,,,,,,
8/31/2023,B-26,44.4992561,26.1354294,8.006956522,10.42,,,,,,,,,
9/1/2023,B-26,44.4992561,26.1354294,9.35173913,11.74,,,,,,,,,
9/2/2023,B-26,44.4992561,26.1354294,9.885652174,13.01,,,,,,,,,
9/3/2023,B-26,44.4992561,26.1354294,7.933043478,9.31,,,,,,,,,
9/4/2023,B-26,44.4992561,26.1354294,5.45826087,6.7,,,,,,,,,
9/5/2023,B-26,44.4992561,26.1354294,8.227826087,10.55,,,,,,,,,
9/6/2023,B-26,44.4992561,26.1354294,7.125217391,9.06,,,,,,,,,
9/7/2023,B-26,44.4992561,26.1354294,8.347391304,10.42,,,,,,,,,
9/8/2023,B-26,44.4992561,26.1354294,7.151304348,10.04,,,,,,,,,
9/9/2023,B-26,44.4992561,26.1354294,7.68,9.93,,,,,,,,,
9/10/2023,B-26,44.4992561,26.1354294,7.641304348,10.5,,,,,,,,,
9/11/2023,B-26,44.4992561,26.1354294,8.073913043,11.28,,,,,,,,,
9/12/2023,B-26,44.4992561,26.1354294,11.93695652,17.7,,,,,,,,,
9/13/2023,B-26,44.4992561,26.1354294,11.46521739,16.51,,,,,,,,,
9/14/2023,B-26,44.4992561,26.1354294,13.62652174,20.03,,,,,,,,,
9/15/2023,B-26,44.4992561,26.1354294,15.03173913,18.8,,,,,,,,,
9/16/2023,B-26,44.4992561,26.1354294,10.44956522,12.12,,,,,,,,,
9/17/2023,B-26,44.4992561,26.1354294,10.33391304,11.51,,,,,,,,,
9/18/2023,B-26,44.4992561,26.1354294,9.871304348,11.92,,,,,,,,,
9/19/2023,B-26,44.4992561,26.1354294,10.01130435,12.67,,,,,,,,,
9/20/2023,B-26,44.4992561,26.1354294,11.19086957,13.67,,,,,,,,,
9/21/2023,B-26,44.4992561,26.1354294,12.86130435,17.43,,,,,,,,,
9/22/2023,B-26,44.4992561,26.1354294,11.8873913,15.97,,,,,,,,,
9/23/2023,B-26,44.4992561,26.1354294,12.05173913,15.75,,,,,,,,,
9/24/2023,B-26,44.4992561,26.1354294,8.647391304,10.37,,,,,,,,,
9/25/2023,B-26,44.4992561,26.1354294,10.35217391,14.16,,,,,,,,,
9/26/2023,B-26,44.4992561,26.1354294,10.38391304,14.99,,,,,,,,,
9/27/2023,B-26,44.4992561,26.1354294,9.66826087,13.22,,,,,,,,,
9/28/2023,B-26,44.4992561,26.1354294,9.495217391,13.09,,,,,,,,,
9/29/2023,B-26,44.4992561,26.1354294,11.00652174,15.5,,,,,,,,,
9/30/2023,B-26,44.4992561,26.1354294,14.47652174,18.33,,,,,,,,,
10/1/2023,B-26,44.4992561,26.1354294,13.67869565,16.07,,,,,,,,,
10/2/2023,B-26,44.4992561,26.1354294,7.76173913,9.63,,,,,,,,,
10/3/2023,B-26,44.4992561,26.1354294,11.49347826,14.68,,,,,,,,,
10/4/2023,B-26,44.4992561,26.1354294,14.66956522,18,,,,,,,,,
10/5/2023,B-26,44.4992561,26.1354294,8.953913043,11.91,,,,,,,,,
10/6/2023,B-26,44.4992561,26.1354294,11.77521739,14.37,,,,,,,,,
10/7/2023,B-26,44.4992561,26.1354294,11.38608696,13.77,,,,,,,,,
10/8/2023,B-26,44.4992561,26.1354294,8.546363636,11.78,,,,,,,,,
